201	190	188
197	184	187
193	155	148
193	171	170
215	191	186
208	181	177
195	171	162
195	166	159
213	185	176
210	194	188
152	139	131
182	165	153
171	154	142
192	180	172
195	167	149
184	160	143
173	160	153
173	139	125
166	146	140
193	175	167
163	130	120
210	187	177
187	165	151
190	157	142
189	160	147
203	172	160
203	170	156
197	161	143
200	156	139
201	178	165
146	129	123
151	136	132
153	140	139
148	126	120
151	130	125
150	116	107
154	126	117
164	133	121
192	151	136
182	137	120
67	62	58
83	69	72
71	60	62
179	163	149
207	199	193
207	191	182
217	196	183
203	179	170
210	196	187
207	194	188
208	190	180
201	186	177
199	180	169
87	74	66
100	88	75
184	181	169
183	167	154
173	167	155
159	154	145
153	134	111
188	173	147
189	173	147
185	167	143
181	161	149
143	160	159
175	162	145
200	181	179
194	175	169
197	171	160
213	200	193
208	186	175
200	188	181
178	151	135
131	132	125
123	126	120
182	169	158
183	166	157
207	190	178
195	167	153
169	141	123
191	162	148
190	160	143
215	198	188
119	128	93
113	116	82
184	160	154
179	165	151
143	147	143
187	165	151
173	155	141
195	173	162
184	154	139
202	172	153
180	161	166
202	190	195
207	182	180
202	168	162
157	107	84
203	175	172
203	175	174
213	189	189
207	167	159
183	145	135
211	209	204
202	200	199
206	204	204
193	191	191
194	183	180
188	176	170
177	168	158
165	154	145
182	172	166
173	156	141
212	195	188
198	189	183
207	185	177
169	152	150
203	167	154
212	183	174
199	180	174
208	188	182
206	156	138
192	165	154
107	100	58
109	93	69
147	120	111
132	127	137
137	128	132
113	86	86
89	82	94
