32,29,39,19,28,120,192,145,124
152,104,79,18,31,67,206,190,187
91,54,61,11,14,94,55,64,162
0,0,2,160,111,90,31,21,23
201,145,129,30,9,107,24,21,25
60,65,84,174,164,158,58,27,18
64,80,119,174,140,128,29,39,57
101,81,70,192,158,156,10,10,10
188,210,223,82,69,61,160,128,118
0,0,0,77,61,60,0,0,0
59,50,31,139,114,92,22,21,19
111,84,91,203,188,191,235,242,249
30,33,56,153,170,164,171,99,88
194,149,133,94,88,87,27,27,44
74,67,80,22,26,31,186,163,150
44,30,45,190,138,126,43,75,160
45,44,48,17,17,20,183,129,132
121,76,70,205,150,134,23,23,56
131,141,176,41,54,79,175,129,102
61,52,60,34,33,39,138,102,85
134,120,109,60,45,41,21,20,24
131,109,122,32,33,83,29,22,38
201,167,157,77,131,229,59,55,65
188,130,109,32,38,54,20,25,35
208,145,125,6,4,4,58,36,34
3,15,78,37,23,32,148,99,95
10,16,23,65,50,40,153,163,167
168,100,84,9,17,43,58,88,151
34,37,57,169,145,167,51,54,102
195,200,196,26,40,64,142,107,89
168,133,134,26,51,132,45,38,56
184,154,119,90,90,94,45,41,45
113,63,5,39,39,34,171,151,133
136,113,107,58,43,44,22,24,28
22,37,22,199,201,201,168,111,92
94,86,91,23,36,62,18,25,42
212,221,224,62,49,42,163,130,107
6,9,21,9,13,30,126,88,80
156,113,107,24,21,23,227,181,163
82,73,95,219,216,217,160,147,149
29,24,42,189,156,142,27,36,127
22,22,32,49,89,162,61,45,64
34,38,94,163,172,196,151,107,93
196,162,155,54,52,63,41,78,143
11,10,15,207,175,165,98,71,66
20,19,20,216,210,189,105,80,78
219,194,179,95,106,114,41,38,60
160,116,125,235,215,225,31,32,69
17,13,10,196,165,141,132,99,76
87,77,85,0,0,1,0,0,0
200,117,102,20,21,40,144,154,223
201,164,126,84,59,38,167,120,84
22,22,44,134,125,159,44,52,109
109,75,64,218,217,220,210,191,187
43,50,106,167,144,131,32,27,31
192,127,112,28,22,32,30,46,94
49,56,81,32,26,29,199,163,152
0,0,0,20,17,20,159,124,118
175,115,63,206,144,117,44,29,39
45,34,39,2,2,3,172,124,109
9,8,11,0,0,0,159,130,129
74,54,101,31,28,47,126,130,137
29,34,52,89,87,96,166,152,145
154,123,130,29,26,74,8,9,31
178,167,162,124,114,111,62,58,60
141,121,108,107,43,37,27,26,39
42,32,29,22,7,0,154,107,72
131,124,127,72,75,83,20,30,52
192,155,149,101,62,26,24,16,12
15,16,58,17,14,35,171,115,109
211,164,174,87,54,84,22,22,52
184,150,141,42,33,37,2,2,2
99,72,53,206,176,168,42,35,25
139,44,28,177,137,116,17,16,22
31,30,39,127,100,94,208,192,186
160,29,51,202,179,184,43,43,73
57,56,77,201,181,184,35,10,22
29,31,36,15,15,11,172,148,129
240,224,230,51,44,77,190,118,111
26,21,33,14,15,60,161,108,91
38,31,30,50,50,61,145,120,113
191,168,160,147,70,73,47,25,41
152,109,96,200,182,187,38,36,52
22,18,26,92,77,63,144,131,110
14,13,32,52,38,45,165,122,118
154,131,127,58,42,35,35,17,8
148,148,167,42,18,26,60,53,62
189,71,57,54,27,28,204,162,134
224,233,251,215,202,207,104,80,78
136,111,108,226,235,252,0,0,0
176,169,163,45,46,46,90,98,122
46,46,70,201,139,108,6,10,23
163,130,136,12,6,2,43,31,27
110,79,65,209,158,139,21,17,18
238,217,190,147,118,133,64,55,56
193,157,138,45,49,52,102,82,75
23,27,46,153,104,88,19,17,15
207,171,165,34,36,79,63,72,139
172,162,180,162,81,87,30,34,76
105,32,23,165,121,98,178,172,159
28,28,27,197,157,132,104,86,64
16,12,52,47,49,120,157,149,180
176,103,78,38,32,35,32,11,7
165,152,152,185,187,191,73,29,26
196,143,146,139,78,80,14,7,28
155,142,149,44,55,126,42,30,35
56,51,45,182,141,115,228,228,224
126,112,126,81,53,48,1,1,2
20,15,40,134,75,56,158,137,157
6,7,10,42,11,7,89,82,75
2,1,1,50,34,19,187,135,103
4,5,4,111,79,60,0,2,0
130,115,94,168,159,142,15,14,15
32,21,21,61,72,103,197,152,143
0,0,0,2,2,2,111,94,93
176,110,83,220,201,187,27,20,19
209,209,221,39,44,71,154,100,85
12,7,13,195,163,176,93,59,72
156,130,128,254,254,254,236,235,236
18,23,58,187,171,165,89,60,66
232,227,224,40,31,40,145,109,115
156,119,103,34,34,47,56,31,12
42,34,43,11,39,124,169,165,180
37,29,34,149,77,47,203,157,125
109,52,51,28,22,28,172,138,128
177,148,154,36,46,111,26,22,34
182,181,190,19,13,19,162,111,91
51,49,52,171,165,163,128,120,114
209,167,155,64,53,68,6,4,4
15,20,25,48,44,53,123,102,94
19,22,26,173,144,126,54,54,58
62,33,38,3,26,58,181,142,129
157,130,127,72,59,68,205,195,189
167,142,131,28,29,40,62,65,93
194,185,181,30,29,67,144,103,93
161,111,85,60,32,29,180,165,150
189,163,144,250,249,244,38,39,49
24,21,38,218,171,183,183,76,72
43,37,33,156,120,110,225,199,195
29,42,108,222,172,172,164,104,109
196,123,116,23,10,16,111,27,36
14,12,22,132,94,116,35,29,57
125,81,86,217,168,151,23,21,23
27,23,26,135,96,79,5,5,4
142,115,104,48,63,113,183,170,174
14,13,30,3,15,81,131,84,70
68,45,46,136,145,161,77,91,122
7,9,14,35,31,38,171,121,107
175,129,112,10,9,11,68,43,36
41,38,58,135,114,125,11,9,16
188,144,125,16,18,17,69,46,39
193,157,142,174,19,20,37,33,34
211,147,128,48,54,88,34,24,31
221,228,228,106,90,79,181,149,132
202,206,210,31,27,26,114,107,104
147,81,63,18,19,25,189,159,160
10,8,10,207,205,200,158,116,95
24,29,74,129,155,171,69,64,119
154,131,118,86,35,31,26,21,26
33,32,41,144,117,104,193,180,175
62,51,47,128,101,83,191,167,155
147,97,78,15,13,27,236,207,200
141,118,124,25,27,50,34,45,95
38,127,243,179,140,125,32,34,35
217,226,222,40,31,27,167,125,94
134,81,62,27,14,16,204,176,160
131,110,146,208,199,209,40,35,57
194,151,139,63,65,81,19,28,43
145,144,165,9,7,11,44,40,58
196,171,159,76,61,53,157,122,106
165,95,94,25,13,16,235,234,235
22,24,28,170,104,99,5,7,4
100,64,52,183,122,104,5,3,5
225,179,172,55,47,63,151,102,73
54,28,30,125,89,81,7,1,3
28,24,29,185,163,153,167,88,77
7,43,159,167,130,113,29,19,24
123,107,113,169,170,179,26,30,53
189,189,183,72,66,62,149,125,107
57,45,34,0,0,0,0,0,0
98,79,102,26,24,36,10,9,15
168,163,139,125,107,87,42,17,16
63,42,60,151,106,113,203,182,196
177,139,133,78,57,55,1,1,4
23,35,42,205,155,135,13,64,97
193,164,150,120,89,73,18,14,14
127,133,154,165,115,105,72,32,43
2,1,1,0,0,0,102,74,71
207,173,155,65,65,73,20,23,37
209,191,194,146,100,96,12,9,13
172,135,122,6,50,170,19,16,41
1,1,0,111,66,52,0,0,0
78,60,57,42,40,37,170,130,135
3,3,3,9,8,7,69,42,32
200,82,88,196,162,186,52,36,52
168,124,118,2,1,13,25,28,66
222,206,203,83,68,66,0,0,0
173,116,90,95,45,40,179,166,151
35,16,28,144,145,157,110,61,68
3,11,28,65,54,56,176,142,140
152,81,78,25,37,86,199,171,167
33,28,29,8,6,9,182,154,148
159,130,127,59,46,43,19,17,17
35,20,68,139,90,88,194,136,132
171,131,122,115,15,7,14,10,10
226,220,209,114,85,63,242,243,241
45,47,92,13,14,22,181,145,130
57,43,35,21,20,26,166,126,120
128,97,116,72,29,36,14,8,12
35,55,123,157,126,143,71,42,41
191,133,113,61,28,9,27,31,45
215,120,89,10,2,4,86,12,3
114,78,72,179,148,142,201,201,202
35,16,7,143,99,78,7,6,4
29,31,51,90,70,69,175,151,120
212,170,146,124,89,75,250,252,250
2,2,4,170,119,105,20,18,24
95,72,68,193,163,139,23,28,35
249,205,188,146,2,6,161,118,90
27,24,57,10,9,10,176,144,126
232,228,229,62,36,36,199,166,155
78,47,31,7,7,11,190,165,160
103,100,156,55,58,119,15,15,20
140,111,101,18,19,19,212,195,186
24,26,32,108,93,87,18,19,22
111,33,35,198,185,194,14,12,19
10,16,21,191,157,142,41,50,60
54,67,71,208,189,157,151,140,115
101,83,75,19,18,21,16,12,14
62,33,45,12,8,9,154,119,106
70,57,90,22,20,51,180,146,133
139,102,85,180,180,183,214,223,232
24,24,29,47,58,63,157,106,97
